marker,pvalue
FceRIaposDC_GLUT1_IL246,0.475550655835523
FceRIaposDC_GLUT1_IL18,0.627219600381938
FceRIaposDC_CPT1a_Unstim,0.696747810580789
FceRIaposDC_CPT1a_LPS,0.995216228130815
FceRIaposDC_CPT1a_IL246,0.332400792506407
FceRIaposDC_CPT1a_IL18,0.632899442688019
FceRIaposDC_pCREB_Unstim,0.10167224073689
FceRIaposDC_pCREB_LPS,0.918815982187917
FceRIaposDC_pCREB_IL246,0.129294958023327
FceRIaposDC_pCREB_IL18,0.324487669752911
FceRIaposDC_pSTAT5_Unstim,0.865108072578744
FceRIaposDC_pSTAT5_IL246,0.155328869339081
FceRIaposDC_pP38_Unstim,0.469578590338429
FceRIaposDC_pP38_LPS,0.434551300125285
FceRIaposDC_pP38_IL18,0.956909114556992
FceRIaposDC_pSTAT1_Unstim,0.170561284615243
FceRIaposDC_pSTAT3_Unstim,0.0077206756081097
FceRIaposDC_pSTAT3_IL246,0.309032476924964
FceRIaposDC_prpS6_Unstim,0.365287235282633
FceRIaposDC_prpS6_LPS,0.0382206307931993
FceRIaposDC_prpS6_IL246,0.0433295990642377
FceRIaposDC_prpS6_IL18,0.116682910645606
FceRIaposDC_PD-L1_Unstim,0.0298249409489718
FceRIaposDC_PD-L1_LPS,0.960151575468431
FceRIaposDC_PD-L1_IL246,0.176053024308165
FceRIaposDC_PD-L1_IL18,0.0668536635532525
FceRIaposDC_CD44_Unstim,0.247210373723569
FceRIaposDC_CD44_LPS,0.263916928161143
FceRIaposDC_CD44_IL246,0.358971030378022
FceRIaposDC_CD44_IL18,0.219034693433886
FceRIaposDC_pNFkB_Unstim,0.630056787864861
FceRIaposDC_pNFkB_LPS,0.621561766095664
FceRIaposDC_pNFkB_IL246,0.0723859727514718
FceRIaposDC_pNFkB_IL18,0.673250666965161
FceRIaposDC_pERK1-2_Unstim,0.262210140405714
FceRIaposDC_pERK1-2_LPS,0.76892247532419
FceRIaposDC_pERK1-2_IL18,0.9029697956152
FceRIaposDC_pSTAT6_Unstim,0.310449032807584
FceRIaposDC_pSTAT6_IL246,0.641453161188412
FceRIaposDC_pPLCg1_Unstim,0.0991903918969615
FceRIaposDC_pPLCg1_LPS,0.523777951406092
FceRIaposDC_pPLCg1_IL246,0.861965633643061
FceRIaposDC_pPLCg1_IL18,0.571675662319792
FceRIaposDC_CXCR4_Unstim,0.627219600381938
FceRIaposDC_CXCR4_LPS,0.588092045381718
FceRIaposDC_CXCR4_IL246,0.960151575468431
FceRIaposDC_CXCR4_IL18,0.0527966604855679
FceRIaposDC_CD62L_Unstim,0.498086647681776
FceRIaposDC_CD62L_LPS,0.441634551679392
FceRIaposDC_CD62L_IL246,0.918815982187917
FceRIaposDC_CD62L_IL18,0.475550655835523
FceRIaposDC_HK2_Unstim,0.0967571292332035
FceRIaposDC_HK2_LPS,0.243959951024634
FceRIaposDC_HK2_IL246,0.790389278545982
FceRIaposDC_HK2_IL18,0.409147411161023
FceRIaposDC_CD63_Unstim,0.134418584459558
FceRIaposDC_CD63_LPS,0.0639337035591907
FceRIaposDC_CD63_IL246,0.571675662319792
FceRIaposDC_CD63_IL18,0.133381494551277
cMCs_VDAC1_Unstim,0.621561766095664
cMCs_VDAC1_LPS,0.198772027547351
cMCs_VDAC1_IL246,0.0817319803786288
cMCs_VDAC1_IL18,0.194614266040038
cMCs_GLUT1_Unstim,0.979272529605356
cMCs_GLUT1_LPS,0.299624190045149
cMCs_GLUT1_IL246,0.56625236764081
cMCs_GLUT1_IL18,0.747631393361605
cMCs_CPT1a_Unstim,0.181216148380537
cMCs_CPT1a_LPS,0.574396540495506
cMCs_CPT1a_IL246,0.508282055529881
cMCs_CPT1a_IL18,0.336403706216749
cMCs_pCREB_Unstim,0.0705016451341265
cMCs_pCREB_LPS,0.0148418970134066
cMCs_pCREB_IL246,0.316698222283263
cMCs_pCREB_IL18,0.508282055529881
cMCs_pSTAT5_Unstim,0.150733160220719
cMCs_pSTAT5_IL246,0.790389278545982
cMCs_pP38_Unstim,0.100836098577315
cMCs_pP38_LPS,0.880851306079082
cMCs_pP38_IL246,0.470619706176199
cMCs_pP38_IL18,0.632899101052492
cMCs_pSTAT1_Unstim,0.0612439553122765
cMCs_pSTAT1_IL246,0.0409040541999734
cMCs_pSTAT3_Unstim,0.0333006431785065
cMCs_pSTAT3_IL246,0.0119995206107151
cMCs_prpS6_Unstim,0.354798605082412
cMCs_prpS6_LPS,0.205845296807912
cMCs_prpS6_IL246,0.214572429173816
cMCs_prpS6_IL18,0.555480438909958
cMCs_PD-L1_Unstim,0.216052509692409
cMCs_PD-L1_LPS,0.947416316777446
cMCs_PD-L1_IL246,0.568960928235011
cMCs_PD-L1_IL18,0.0611198766330978
cMCs_CD44_Unstim,0.269077345099702
cMCs_CD44_LPS,0.693794135542382
cMCs_CD44_IL246,0.33841674418806
cMCs_CD44_IL18,0.226619189035341
cMCs_pNFkB_Unstim,0.661618883749257
cMCs_pNFkB_LPS,0.458416719284724
cMCs_pNFkB_IL246,0.193242624552938
cMCs_pNFkB_IL18,0.83378773741967
cMCs_pERK1-2_Unstim,0.217539926950192
cMCs_pERK1-2_LPS,0.582595741630551
cMCs_pERK1-2_IL246,0.963337107236902
cMCs_pERK1-2_IL18,0.397898550265352
cMCs_pSTAT6_Unstim,0.147260908196871
cMCs_pSTAT6_IL246,0.198772027547351
cMCs_pPLCg1_Unstim,0.0824353931148941
cMCs_pPLCg1_LPS,0.61874118801312
cMCs_pPLCg1_IL246,0.32252871119086
cMCs_pPLCg1_IL18,0.720539575916124
cMCs_CXCR4_Unstim,0.593612197667221
cMCs_CXCR4_LPS,0.771978760057143
cMCs_CXCR4_IL246,0.714565143878602
